,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
228,Round,0.30 ct.,D,SI2,Very Good,GIA,59.1 %,62 %,Excellent,Very Good,Very Good,4.36x4.33x2.57 mm,1.01,n/a,None,None,D113590530,$555
229,Round,0.30 ct.,J,VS1,Very Good,GIA,65.1 %,56 %,Excellent,Very Good,Good,4.12x4.17x2.7 mm,1.01,n/a,n/a,None,D113844249,$555
230,Round,0.40 ct.,K,SI1,Ideal,GIA,61.9 %,60 %,Excellent,Excellent,Very Good,4.76x4.74x2.94 mm,1.00,Medium,None,Faint,D111983555,$556
231,Round,0.40 ct.,K,SI1,Excellent,GIA,64.5 %,57 %,Excellent,Very Good,Very Good,4.61x4.60x2.97 mm,1.00,Sl. Thick - Thick,None,None,D112110917,$556
232,Round,0.40 ct.,K,SI2,Ideal,GIA,60.3 %,60 %,Excellent,Very Good,Excellent,4.78x4.8x2.89 mm,1.00,n/a,None,None,D112146010,$556
233,Round,0.30 ct.,E,SI2,Very Good,GIA,64.3 %,55 %,Very Good,Good,Very Good,4.17x4.23x2.7 mm,1.01,V. Thin - Thick,None,None,D112881327,$556
234,Round,0.30 ct.,D,SI2,Ideal,GIA,63.2 %,56 %,Excellent,Very Good,Very Good,4.21x4.25x2.67 mm,1.01,Sl. Thick - Thick,None,Faint,D112886109,$556
235,Round,0.30 ct.,D,SI2,Ideal,GIA,59.8 %,60 %,Excellent,Very Good,Very Good,4.31x4.33x2.59 mm,1.00,Sl. Thick - Thick,None,None,D113032142,$556
236,Round,0.30 ct.,E,SI2,Ideal,GIA,61.2 %,56 %,Excellent,Very Good,Very Good,4.28x4.31x2.63 mm,1.01,Medium - Thick,None,Faint,D113581936,$556
237,Round,0.30 ct.,E,SI2,Very Good,GIA,64.2 %,56 %,Very Good,Good,Good,4.15x4.18x2.68 mm,1.01,Sl. Thick - V. Thick,n/a,None,D113594117,$556
238,Round,0.30 ct.,J,VVS2,Ideal,GIA,60.9 %,61 %,Excellent,Excellent,Excellent,4.33x4.30x2.63 mm,1.01,n/a,None,Medium,D113638296,$556
239,Round,0.30 ct.,E,SI2,Very Good,GIA,61.8 %,61 %,Very Good,Good,Very Good,4.27x4.24x2.63 mm,1.01,Sl. Thick - Thick,None,None,D113653333,$556
240,Round,0.29 ct.,J,VS2,Ideal,GIA,61.1 %,57 %,Very Good,Very Good,Excellent,4.34x4.31x2.64 mm,1.01,Thin - Sl. Thick,None,None,D111964250,$558
241,Round,0.26 ct.,F,VVS2,Good,GIA,61.3 %,63 %,Good,Good,Good,4.07x4.12x2.51 mm,1.01,Medium - Sl. Thick,None,None,D112614111,$558
242,Round,0.40 ct.,J,SI2,Good,GIA,65.8 %,62 %,Excellent,Very Good,Good,4.51x4.58x2.99 mm,1.02,Thin - V. Thick,None,Faint,D112744042,$558
243,Round,0.30 ct.,I,VS2,Very Good,GIA,60.0 %,62 %,Excellent,Good,Very Good,4.27x4.34x2.59 mm,1.02,Thin - Thick,None,None,D113840611,$558
244,Round,0.23 ct.,E,IF,Excellent,GIA,59.4 %,60 %,Excellent,Very Good,Very Good,3.98x3.96x2.36 mm,1.01,n/a,None,None,D111957591,$559
245,Round,0.35 ct.,K,VVS2,Ideal,GIA,62.9 %,57 %,Very Good,Very Good,Very Good,4.48x4.47x2.81 mm,1.00,Sl. Thick,None,Strong,D112196822,$559
246,Round,0.40 ct.,J,SI2,Very Good,GIA,64.6 %,56 %,Excellent,Excellent,Good,4.64x4.64x3 mm,1.00,Sl. Thick,None,None,D113088763,$559
247,Round,0.33 ct.,J,VS2,Ideal,GIA,61.9 %,61 %,Excellent,Excellent,Excellent,4.44x4.42x2.74 mm,1.00,Sl. Thick,None,None,D113575705,$559
248,Round,0.23 ct.,D,VVS2,Ideal,GIA,59.9 %,59 %,Very Good,Very Good,Excellent,3.97x2.38x3.99 mm,1.67,Medium,None,None,D113692867,$559
249,Round,0.30 ct.,H,SI1,Very Good,GIA,65.7 %,59 %,Excellent,Excellent,Good,4.16x4.13x2.72 mm,1.01,Thick - V. Thick,None,Faint,D112109943,$560
250,Round,0.40 ct.,K,VS1,Excellent,GIA,59.3 %,61 %,Excellent,Excellent,Good,4.77x4.81x2.84 mm,1.01,n/a,None,Faint,D112743442,$560
251,Round,0.29 ct.,J,VVS1,Excellent,GIA,64.1 %,56 %,Excellent,Very Good,Very Good,4.16x4.2x2.68 mm,1.01,Sl. Thick - Thick,None,Faint,D112883516,$560
252,Round,0.31 ct.,E,SI2,Excellent,GIA,63.8 %,57 %,Very Good,Very Good,Very Good,4.32x4.25x2.74 mm,1.02,Medium - Thick,None,None,D113132144,$560
253,Round,0.29 ct.,J,VVS1,Ideal,GIA,62.8 %,61 %,Excellent,Excellent,Very Good,4.19x4.22x2.64 mm,1.01,Sl. Thick - Thick,None,Faint,D113204778,$560
254,Round,0.30 ct.,D,SI2,Ideal,GIA,62.2 %,60 %,Very Good,Excellent,Very Good,4.23x4.25x2.64 mm,1.00,Thin - Thick,None,Faint,D113231021,$560
255,Round,0.30 ct.,H,SI1,Excellent,GIA,63.9 %,56 %,Excellent,Very Good,Very Good,4.19x4.21x2.68 mm,1.00,Sl. Thick - Thick,None,Faint,D113357353,$560
256,Round,0.40 ct.,J,SI2,Ideal,GIA,61.3 %,61 %,Excellent,Excellent,Excellent,4.71x4.74x2.9 mm,1.01,n/a,None,Medium,D113567314,$560
257,Round,0.30 ct.,E,SI2,Very Good,GIA,65.1 %,57 %,Excellent,Excellent,Good,4.13x4.17x2.70 mm,1.01,Thick - V. Thick,n/a,None,D113594118,$560
258,Round,0.30 ct.,I,SI1,Ideal,GIA,63.1 %,56 %,Excellent,Very Good,Excellent,4.21x4.27x2.67 mm,1.01,n/a,n/a,Faint,D113843005,$560
259,Round,0.25 ct.,H,VS1,Excellent,GIA,59.0 %,62 %,Excellent,Excellent,Excellent,4.11x4.09x2.42 mm,1.00,n/a,n/a,None,D111984043,$562
260,Round,0.36 ct.,J,VVS2,Very Good,GIA,65.9 %,58 %,Excellent,Very Good,Good,4.41x4.34x2.88 mm,1.02,Thick - V. Thick,None,Strong,D111984967,$562
261,Round,0.40 ct.,J,SI2,Excellent,GIA,62.7 %,60 %,Very Good,Very Good,Very Good,4.65x4.67x2.93 mm,1.00,Medium - Thick,None,Faint,D112028784,$562
262,Round,0.40 ct.,K,SI2,Ideal,GIA,61.8 %,56 %,Excellent,Good,Very Good,4.74x4.68x2.91 mm,1.01,n/a,None,Faint,D112185494,$562
263,Round,0.40 ct.,K,SI2,Very Good,GIA,64.3 %,58 %,Very Good,Very Good,Very Good,4.65x4.60x2.97 mm,1.01,Sl. Thick - Thick,None,None,D112199982,$562
264,Round,0.40 ct.,J,SI2,Very Good,GIA,66.2 %,58 %,Excellent,Very Good,Good,4.49x4.57x3 mm,1.02,Sl. Thick - V. Thick,None,None,D112382865,$562
265,Round,0.34 ct.,E,SI2,Good,GIA,66.1 %,60 %,Very Good,Very Good,Good,4.24x4.28x2.82 mm,1.01,Thick - V. Thick,None,Medium,D112880779,$562
266,Round,0.40 ct.,J,SI2,Very Good,GIA,59.6 %,61 %,Very Good,Good,Very Good,4.85x4.75x2.86 mm,1.02,n/a,None,Medium,D112882507,$562
267,Round,0.40 ct.,J,SI2,Good,GIA,64.3 %,55 %,Good,Good,Good,4.67x4.59x2.98 mm,1.02,Medium - V. Thick,None,None,D112882509,$562
268,Round,0.40 ct.,J,SI2,Very Good,GIA,60.6 %,63 %,Very Good,Very Good,Good,4.64x4.67x2.83 mm,1.01,Sl. Thick - V. Thick,None,None,D112882702,$562
269,Round,0.40 ct.,J,SI2,Good,GIA,64.9 %,56 %,Very Good,Good,Good,4.57x4.61x2.98 mm,1.01,Thin - V. Thick,None,None,D113253510,$562
270,Round,0.30 ct.,E,SI1,Very Good,GIA,65.3 %,59 %,Excellent,Very Good,Good,4.13x4.18x2.71 mm,1.01,Thick - V. Thick,n/a,Medium,D113611461,$562
271,Round,0.40 ct.,K,VVS2,Good,GIA,66.9 %,58 %,Very Good,Good,Fair,4.53x4.54x3.03 mm,1.00,Thick - V. Thick,None,None,D112882723,$563
272,Round,0.30 ct.,E,SI2,Excellent,GIA,63.9 %,56 %,Very Good,Very Good,Very Good,4.24x4.21x2.70 mm,1.01,Medium - Thick,n/a,None,D113232829,$563
273,Round,0.30 ct.,I,VS1,Very Good,GIA,63.2 %,62 %,Excellent,Very Good,Very Good,4.17x4.21x2.65 mm,1.01,n/a,None,None,D113453208,$563
274,Round,0.33 ct.,I,SI1,Ideal,GIA,58.8 %,60 %,Excellent,Excellent,Excellent,4.54x4.56x2.68 mm,1.00,Medium,None,None,D113631073,$563
275,Round,0.25 ct.,H,VVS1,Excellent,GIA,59.3 %,62 %,Excellent,Excellent,Excellent,4.12x4.14x2.45 mm,1.00,n/a,None,Strong,D111983137,$565
276,Round,0.37 ct.,G,SI2,Excellent,GIA,63.5 %,60 %,Very Good,Very Good,Very Good,4.54x4.52x2.87 mm,1.00,Thin - Thick,None,None,D112112711,$565
277,Round,0.24 ct.,D,VS2,Ideal,GIA,59.3 %,60 %,Excellent,Very Good,Excellent,4.10x4.08x2.43 mm,1.00,n/a,None,Faint,D112185530,$565
278,Round,0.30 ct.,F,SI2,Ideal,GIA,61.7 %,58 %,Very Good,Very Good,Very Good,4.28x4.31x2.65 mm,1.01,Sl. Thick - Thick,None,None,D112369697,$565
279,Round,0.30 ct.,E,SI2,Very Good,GIA,63.9 %,57 %,Good,Very Good,Very Good,4.27x4.29x2.73 mm,1.00,Medium - Thick,None,None,D112865787,$565
280,Round,0.36 ct.,K,VVS2,Very Good,GIA,64.6 %,57 %,Excellent,Very Good,Very Good,4.4x4.45x2.86 mm,1.01,Sl. Thick - Thick,None,None,D112952946,$565
281,Round,0.30 ct.,D,SI2,Excellent,GIA,59.3 %,61 %,Excellent,Excellent,Very Good,4.35x4.36x2.58 mm,1.00,n/a,None,Faint,D113090989,$565
282,Round,0.30 ct.,G,SI1,Excellent,GIA,63.5 %,57 %,Very Good,Very Good,Very Good,4.23x4.26x2.69 mm,1.01,n/a,None,None,D113656027,$565
283,Round,0.30 ct.,D,SI2,Very Good,GIA,65.0 %,56 %,Excellent,Very Good,Good,4.09x4.14x2.68 mm,1.01,n/a,n/a,None,D113706789,$565
284,Round,0.30 ct.,E,SI2,Very Good,GIA,59.2 %,61 %,Very Good,Very Good,Very Good,4.37x4.39x2.59 mm,1.00,Medium - Sl. Thick,None,None,D113847808,$565
285,Round,0.24 ct.,G,VVS2,Excellent,GIA,58.6 %,61 %,Excellent,Excellent,Excellent,4.09x4.07x2.39 mm,1.00,Medium,None,None,D112185190,$566
286,Round,0.30 ct.,H,SI1,Good,GIA,56.8 %,64 %,Excellent,Very Good,Very Good,4.4x4.45x2.51 mm,1.01,n/a,n/a,None,D113231987,$566
287,Round,0.36 ct.,J,VVS2,Excellent,GIA,63.4 %,60 %,Excellent,Very Good,Very Good,4.46x4.48x2.83 mm,1.00,n/a,n/a,None,D112319519,$567
288,Round,0.30 ct.,D,SI1,Good,GIA,70.9 %,53 %,Excellent,Very Good,Fair,3.97x4.02x2.83 mm,1.01,n/a,None,None,D112670161,$567
289,Round,0.41 ct.,K,SI1,Excellent,GIA,63.7 %,56 %,Excellent,Very Good,Very Good,4.65x4.66x2.97 mm,1.00,Sl. Thick - Thick,None,Faint,D112906263,$567
290,Round,0.29 ct.,G,VS1,Very Good,GIA,63.9 %,54 %,Good,Good,Good,4.16x4.22x2.68 mm,1.01,Sl. Thick - V. Thick,None,None,D113126345,$567
291,Round,0.30 ct.,D,SI1,Very Good,GIA,69.1 %,54 %,Excellent,Very Good,Fair,4.04x4.02x2.79 mm,1.00,Sl. Thick - V. Thick,None,None,D113241261,$567
292,Round,0.40 ct.,J,SI2,Excellent,GIA,64.5 %,58 %,Excellent,Very Good,Very Good,4.59x4.63x2.98 mm,1.01,Thin - Thick,None,Faint,D113566434,$567
293,Round,0.30 ct.,I,VS2,Ideal,GIA,59.0 %,61 %,Excellent,Excellent,Excellent,4.38x4.35x2.57 mm,1.01,n/a,n/a,None,D113696852,$567
294,Round,0.33 ct.,J,VS1,Excellent,GIA,64.2 %,57 %,Excellent,Excellent,Very Good,4.4x4.38x2.82 mm,1.00,n/a,None,None,D112100624,$569
295,Round,0.23 ct.,D,VS1,Ideal,GIA,59.0 %,61 %,Excellent,Excellent,Excellent,4.00x3.99x2.36 mm,1.00,n/a,None,None,D112185841,$569
296,Round,0.40 ct.,K,VS1,Very Good,GIA,66.1 %,59 %,Excellent,Very Good,Good,4.56x4.53x3.01 mm,1.01,Medium - V. Thick,None,Faint,D112321851,$569
297,Round,0.37 ct.,G,SI2,Excellent,GIA,63.4 %,59 %,Very Good,Very Good,Good,4.51x4.54x2.87 mm,1.01,Sl. Thick - Thick,None,Faint,D112746127,$569
298,Round,0.30 ct.,E,SI2,Very Good,GIA,58.9 %,62 %,Excellent,Excellent,Very Good,4.38x4.4x2.58 mm,1.00,n/a,None,None,D112797637,$569
299,Round,0.36 ct.,J,VS1,Very Good,GIA,64.1 %,55 %,Very Good,Very Good,Very Good,4.49x4.45x2.86 mm,1.01,Thin - Thick,None,None,D112883592,$569
300,Round,0.24 ct.,F,VS1,Excellent,GIA,60.5 %,61 %,Very Good,Excellent,Very Good,3.95x3.99x2.4 mm,1.01,Sl. Thick - Thick,None,None,D112885785,$569
301,Round,0.30 ct.,K,IF,Ideal,GIA,60.1 %,59 %,Excellent,Excellent,Good,4.36x4.34x2.62 mm,1.00,n/a,n/a,None,D113361751,$569
302,Round,0.40 ct.,J,SI2,Excellent,GIA,63.7 %,58 %,Very Good,Excellent,Very Good,4.64x4.69x2.97 mm,1.01,Sl. Thick - Thick,None,Medium,D113566558,$569
303,Round,0.35 ct.,I,VS2,Ideal,GIA,59.9 %,61 %,Excellent,Excellent,Excellent,4.57x4.58x2.74 mm,1.00,Medium - Sl. Thick,None,Faint,D113588577,$569
304,Round,0.30 ct.,G,SI1,Good,GIA,64.6 %,63 %,Very Good,Very Good,Good,4.15x4.17x2.69 mm,1.00,V. Thick,n/a,Faint,D113594184,$569
305,Round,0.30 ct.,G,SI1,Very Good,GIA,59.6 %,67 %,Excellent,Very Good,Good,4.28x4.22x2.53 mm,1.01,Thick - V. Thick,n/a,None,D113659445,$569
306,Round,0.30 ct.,J,VS2,Excellent,GIA,63.8 %,60 %,Excellent,Very Good,Very Good,4.15x4.22x2.67 mm,1.02,n/a,n/a,None,D113741743,$569
307,Round,0.23 ct.,E,VVS1,Excellent,GIA,59.3 %,62 %,Very Good,Excellent,Excellent,4.04x4.01x2.39 mm,1.01,n/a,None,None,D113361517,$570
308,Round,0.36 ct.,J,VVS2,Excellent,GIA,63.7 %,56 %,Very Good,Very Good,Very Good,4.45x4.44x2.83 mm,1.00,Sl. Thick - Thick,None,Faint,D111984962,$572
309,Round,0.30 ct.,G,SI1,Ideal,GIA,62.3 %,55 %,Excellent,Good,Very Good,4.24x4.34x2.68 mm,1.02,Thin - Thick,None,Faint,D112037316,$572
310,Round,0.40 ct.,J,SI2,Excellent,GIA,59.0 %,54 %,Very Good,Very Good,Good,4.84x4.82x2.85 mm,1.00,n/a,None,None,D112184972,$572
311,Round,0.30 ct.,D,SI2,Ideal,GIA,59.1 %,60 %,Excellent,Very Good,Excellent,4.42x4.36x2.59 mm,1.01,Thin - Sl. Thick,None,None,D112800644,$572
312,Round,0.30 ct.,E,SI2,Ideal,GIA,61.8 %,59 %,Very Good,Excellent,Very Good,4.28x4.31x2.66 mm,1.01,Medium - Thick,None,None,D112880208,$572
313,Round,0.40 ct.,J,SI2,Very Good,GIA,64.4 %,59 %,Very Good,Very Good,Very Good,4.63x4.67x2.99 mm,1.01,Medium - Thick,None,Medium,D112882506,$572
314,Round,0.40 ct.,K,VS2,Very Good,GIA,64.8 %,55 %,Excellent,Very Good,Very Good,4.54x4.61x2.97 mm,1.02,Sl. Thick - Thick,None,Faint,D113145844,$572
315,Round,0.41 ct.,K,SI1,Ideal,GIA,63.7 %,58 %,Excellent,Excellent,Very Good,4.65x4.68x2.97 mm,1.01,Sl. Thick - Thick,n/a,Medium,D113227365,$572
316,Round,0.30 ct.,E,SI2,Very Good,GIA,58.7 %,61 %,Excellent,Good,Very Good,4.19x4.22x2.69 mm,1.01,n/a,n/a,None,D113335103,$572
317,Round,0.30 ct.,E,SI2,Excellent,GIA,60.3 %,58 %,Good,Very Good,Very Good,4.35x4.36x2.62 mm,1.00,n/a,n/a,None,D113341510,$572
318,Round,0.30 ct.,E,SI2,Very Good,GIA,59.2 %,64 %,Very Good,Excellent,Very Good,4.39x4.41x2.61 mm,1.00,Medium,None,None,D113437218,$572
319,Round,0.40 ct.,K,VS2,Very Good,GIA,65.3 %,58 %,Excellent,Very Good,Very Good,4.63x4.57x3 mm,1.01,Medium - Thick,None,Faint,D113460801,$572
320,Round,0.31 ct.,E,SI2,Ideal,GIA,59.8 %,61 %,Excellent,Excellent,Excellent,4.37x4.38x2.62 mm,1.00,n/a,None,Medium,D113581935,$572
321,Round,0.30 ct.,I,VVS1,Good,GIA,64.9 %,60 %,Very Good,Good,Good,4.13x4.2x2.7 mm,1.02,n/a,n/a,Faint,D113657255,$572
322,Round,0.30 ct.,K,VS1,Very Good,GIA,64.9 %,57 %,Very Good,Very Good,Very Good,4.19x4.14x2.70 mm,1.01,Sl. Thick - Thick,None,None,D112110499,$573
323,Round,0.40 ct.,K,SI1,Excellent,GIA,63.7 %,54 %,Excellent,Very Good,Very Good,4.66x4.63x2.96 mm,1.01,Sl. Thick,None,None,D112321626,$573
324,Round,0.40 ct.,K,SI1,Excellent,GIA,64.3 %,56 %,Excellent,Excellent,Very Good,4.61x4.63x2.97 mm,1.00,Sl. Thick - Thick,None,None,D113039047,$573
325,Round,0.30 ct.,E,SI2,Ideal,GIA,60.5 %,60 %,Excellent,Very Good,Very Good,4.32x4.27x2.60 mm,1.01,Medium - Sl. Thick,None,None,D113262590,$573
326,Round,0.30 ct.,G,VS2,Good,GIA,56.2 %,66 %,Very Good,Very Good,Fair,4.4x4.39x2.47 mm,1.00,Medium - Thick,None,None,D113442143,$573
327,Round,0.40 ct.,J,SI1,Ideal,GIA,61.8 %,61 %,Excellent,Excellent,Very Good,4.71x4.73x2.92 mm,1.00,Sl. Thick - Thick,None,Medium,D113566579,$573
328,Round,0.30 ct.,G,VS2,Excellent,GIA,60.8 %,60 %,Very Good,Good,Very Good,4.28x4.34x2.62 mm,1.01,Medium - Thick,None,Faint,D113655161,$573
329,Round,0.30 ct.,G,SI1,Ideal,GIA,59.4 %,59 %,Excellent,Very Good,Very Good,4.33x4.36x2.58 mm,1.01,Thin - Thick,None,None,D113840663,$573
330,Round,0.41 ct.,J,SI2,Ideal,GIA,61.7 %,61 %,Very Good,Excellent,Excellent,4.76x4.72x2.92 mm,1.01,n/a,None,Faint,D111984645,$574
331,Round,0.41 ct.,K,SI2,Ideal,GIA,60.2 %,61 %,Excellent,Excellent,Excellent,4.80x4.79x2.89 mm,1.00,n/a,None,Faint,D112064316,$574
332,Round,0.41 ct.,K,VS2,Excellent,GIA,64.4 %,56 %,Excellent,Excellent,Very Good,4.65x4.61x2.99 mm,1.01,Thick,None,Faint,D112110382,$574
333,Round,0.33 ct.,F,SI2,Ideal,GIA,60.6 %,62 %,Excellent,Excellent,Excellent,4.44x4.43x2.69 mm,1.00,n/a,None,Faint,D112152447,$574
334,Round,0.40 ct.,J,SI2,Excellent,GIA,64.3 %,56 %,Excellent,Very Good,Very Good,4.57x4.62x2.96 mm,1.01,Thin - Thick,None,Medium,D112742255,$574
335,Round,0.40 ct.,I,SI2,Excellent,GIA,63.6 %,57 %,Very Good,Excellent,Very Good,4.62x4.66x2.95 mm,1.01,Thin - Thick,None,None,D113253508,$574
336,Round,0.40 ct.,K,SI1,Very Good,GIA,58.3 %,62 %,Excellent,Very Good,Very Good,4.82x4.86x2.82 mm,1.01,Thin - Medium,None,Strong,D113460172,$574
337,Round,0.30 ct.,J,VVS1,Ideal,GIA,61.1 %,61 %,Very Good,Excellent,Excellent,4.29x4.31x2.63 mm,1.00,n/a,None,Faint,D113563857,$574
338,Round,0.34 ct.,K,VVS1,Ideal,GIA,60.1 %,62 %,Excellent,Excellent,Excellent,4.52x4.54x2.72 mm,1.00,Medium - Sl. Thick,None,None,D113588802,$574
339,Round,0.40 ct.,K,VS1,Excellent,GIA,64.3 %,55 %,Excellent,Very Good,Very Good,4.56x4.62x2.95 mm,1.01,Medium - Thick,n/a,Faint,D113842151,$574
340,Round,0.27 ct.,J,VVS2,Ideal,GIA,60.8 %,61 %,Excellent,Excellent,Excellent,4.21x4.19x2.55 mm,1.00,n/a,None,None,D111984055,$576
341,Round,0.37 ct.,J,SI1,Very Good,GIA,64.0 %,54 %,Good,Very Good,Very Good,4.52x4.53x2.9 mm,1.00,n/a,n/a,Faint,D112880148,$576
342,Round,0.33 ct.,E,SI2,Very Good,GIA,64.3 %,57 %,Excellent,Very Good,Good,4.28x4.35x2.78 mm,1.02,Sl. Thick - Thick,None,None,D112880776,$576
